тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
distance,адлегласць,,Samsung
distortion,скажэнне,,"Google (When the image does not appear as it should, generally things that should be straight do not appear to be straight.)"
distortion correction,карэкцыя скажэнняў,,"Google (Methods for preventing distortion. Usually takes the form of ""barrel distortion"" or ""pincushion distortion"". See the corners of of the images to see distortion correction: https://lh3.googleusercontent.com/5G9OD3NS9BrD38Td9b_1A5sAFITmPHdDh284uiMbmxUn9_PlR_LCOB-AQrzdUpPSew=h900)"
distribute,"распаўсюджваць, ! размеркаваць",,"Google — распаўсюджваць (To make a video or other item available for general viewing or purchase.);
MS — размеркаваць"
distributor,размеркавальнік,,MS
distrusted,сумнеўны,,Google
divider,раздзяляльнік,,Samsung
dizziness,галавакружэнне,,Samsung
Djibouti,Джыбуці,,CLDR
DMB key,клавіша DMB,,Samsung
DN,адрознае імя; DN,,Samsung
DNS,DNS,,Samsung
DNSe,DNSe,,Samsung
Do not display this again,Больш не адлюстроўваць гэта,,Samsung
Do not disturb,Не турбаваць,,"Google (Do not disturb mode on an Android device blocks all sounds and vibrations, including alarms, music, games, etc. A user is still able to make phone calls. There are three modes to choose from — priority only, alarms only, and totally silent.)"
Do not show again,Больш не паказваць,,Samsung
Do not show this again,Больш не паказваць гэта,,Samsung
DOC,DOC,,Samsung
dock,док-станцыя; прыстыкаваць,,"Google — док-станцыя (A piece of hardware, such as a desktop dock or a car dock, used to connect devices to peripherals so that they can interact.); прыстыкаваць (To attach a device to a dock so that it can interact with peripherals.)"
document,дакумент,,Samsung
documentation,­дакументацыя,,MS
dodge & burn,асвятленне і зацямненне,рэтуш dodge & burn,"Google (Increases or decreases the brightness of certain parts of an image. Produces different results as overexposure or underexposure of the image, because it is done during the photo development step, not when taking the image.)"
does not,не,,
does not Expire,не мае тэрміну,,
domain,дамен,,Samsung
Dominica,Дамініка,,CLDR
Dominican Republic,Дамініканская Рэспубліка,,CLDR
don't ask again,больш не пытацца,,"Telegram, Moon Reader"
Don't show this again,Больш не паказваць гэта,,Samsung
donate,ахвярваць,,MS
donation,ахвярванне,,"MS, Anki"
done,гатова,,Samsung
dongle,адаптар,,Samsung
Donut,Donut,,Google (Code name for a version of the Android operating system. Not to be translated.)
Doodle Fruit Games,Doodle Fruit Games,,"Google (Doodle team is launching a set of mini-games that will live within the Google App. These mini-games are fruit-themed (have fruit for their characters) Olympic, style sports, like tennis, golf, swimming, running and BMX. Audience: 18 to 49 year olds, tech-forward and looking for a fun way to fill their down time.)"
door,дзверы,,Samsung
doorbell,дзвярны званок,,Samsung
dormant,неактыўны,,Samsung
dot above,кропка зверху,,Samsung
Douala,Дуала,,Samsung
Double Flip,двайны пераварот,,Google (Type of gesture used in Google Gesture Search (Infrastructure projects).)
double tap,двойчы націсніце,,Samsung
DoubleClick earnings,Заробкі DoubleClick,,Google (Within YouTube Analytics – Estimated earnings from reserved-sold advertising via DoubleClick (DCLK) and other YouTube-sold sources for the selected date range and region.)
down,уніз,,MS
download,"спампаваць, спампоўваць; спампоўка (аб'ект), спампоўкі",,"Telegram
Прыжыўшыся ў перакладчыцкай практыцы тэрмін з рас. слэнгу.
Добра падыходзіць, бо выразна бачны напрамак дзеяння спампаваць/запампаваць, аналагі такога не даюць

MS — спампоўванне, спампаванне (The transfer of a copy of a file from a remote device to a requesting device by means of a modem or network.); спампоўка, спампоўванне (Usually apps, games, and music downloaded from Windows Phone Store.); спампаваць (To transfer a copy of a file from a remote device to a requesting device by means of a modem or network., To transfer content from the Xbox service to the console.); спампоўка (An installation package that the user downloads from http://download.live.com/?mkt=en-us.); спампаванне (The content that is transferred from the Xbox service to a console.)"
download booster,паскаральнік спампоўвання,,Samsung
Download Manager,Менеджар спамповак,,Google (Name of application that efficiently downloads all kinds of files from the internet to your phone or tablet.)
Download manager,Менеджар спамповак,,Samsung
download queue,чарга спампоўвання,,Samsung
Download updates automatically,Спамп. абнаўленні аўтаматычна,,Samsung
Download updates manually,Спампоўваць абнаўленні ўручную,,Samsung
downloader,"! менеджар спампоўвання, менеджар спамповак",,
downloading,спампоўванне (працэс),спампаванне,Telegram
Downloads,Спампоўкі,,Samsung
downtime,час бяздзеяння,,Google (Downtime is a time period a user can set when they wish to receive only priority notifications.)
downwards swipe,правядзенне ўніз,,Samsung
Doze,Дрымота,,"Google (Name of a feature in Android M that allows an Android phone or tablet to drain the battery more slowly if it's left unused (and immobile) for an hour or more. Translate in a similar fashion as the literal meaning of the English word ""doze"", e.g. ""a little doze before dinner might be just what you need"". Note that this feature is built into the phone, has no separate UI setting, and doesn't appear in the UI at all. It's used in marketing materials to describe this new capability in the M release.)"
draft,чарнавік; чарнавы; Чарнавая версія,,"Google — чарнавік (A message that is not yet completed or sent.); Чарнавая версія (Status assigned to an app that hasn't yet been published on Google Play.)
Samsung — чарнавік; чарнавы"
Drafts,Чарнавікі,,Samsung
drag,перацягнуць; перацягніце; перацягванне,,"Samsung, Google (To touch and hold a screen object with a finger, then pull it across the screen and release it when it reaches the target position.)"
drag and drop,перацягванне,,MS
Dragon Boat Festival,Свята лодак-драконаў,,Samsung
Drama,Драма,,"Google (Filter name within Snapseed that adds an artistic effect to photos, from a subtle enhancement of textures and details to an over processed effect that mimics the look of HDR images.)"
draw,"рысаваць, нарысаваць; рысунак; адлюстраваць (акно, відарыс)",,"Telegram — рысаваць, нарысаваць; адлюстраваць (акно)
Samsung — рысаваць; рысунак
Wikipedia — адлюстраваць (відарыс)"
drawable,графічны элемент,,"Google (Any drawable resource, such as an icon or other graphic asset. Example: ""At a minimum, your app should supply sets of custom drawables and assets for common tablet screen densities."")"
drawer,высоўнае меню,,"Samsung, Google (A pane that users can open by swiping out from the left edge of the screen and close by swiping back.)"
drawing,рысунак; рысаванне,,"Google (Sketch, design, art as a rule made using lines without coloring.), Telegram — рысунак;
Samsung — рысаванне"
drawing mode,рэжым рысавання,,Samsung
drawing tool,інструмент рысавання,,Samsung
drift,дрэйф,,"Google (Any movement in the experience that does not align with user's movement (e.g. user's head is stationary, but the field-of-view moves). This is disorienting and is considered a bad thing.)"
drift correction,карэкцыя дрэйфу,,Google (Methods for preventing drift from happening.)
drive,дыск; дыскавод,,"дыск (An area of storage that is formatted with a file system and has a drive letter. The storage can be a floppy disk, a CD or DVD, a hard disk, or another type of disk.)
дыскавод, прывад (A hardware device that reads data from and writes data to floppy disks.)
MS
"
Drive Experience,Drive Experience,,Samsung
Drive mode,рэжым «За рулём»,,Samsung
driving,за рулём,,Samsung
Driving mode,рэжым «За рулём»,,Samsung
DRM,DRM,,Samsung
Drop Box,Стандартны альбом,Drop Box,Google (Drop Box is the name for the default album that photos are added to when they're not assigned to a particular album.)
drop down,гл. drop-down,,
Drop Shadow,Фільтр Drop Shadow,,Google (Photo effect where your photo appears to be floating slightly above the background.)
drop-down,"выпадны, выпадное",,"Google, Samsung"
dropbox,файлаабменнік,,"Google (Partners who regularly deliver a large volume of assets on YouTube can use the “dropbox” method of uploading files. This is where a user transfers media and metadata files into a folder on a cloud-based server, from which YouTube uploads them as a batch. The upload from the dropbox to YouTube occurs using either Secure File Transfer Protocol (SFTP) or Aspera.)"
Dropbox,Dropbox,,Samsung
dropdown,выпадное,,Samsung
dropped pin,прыколатая шпілька,,Google
dropper,піпетка,"""піпетка""","Google (Shorthand for ""eye dropper"". A tool for editing that lets user select a color from a palatte.)"
DST,летні час,,Samsung
DTMF tones,тоны DTMF,,"Google (Abbreviation of ""dual-tone multi-frequency signaling tones."" Refers to the tones generated by a device and sent to the switching center when the user touches a dial key.)"
dual camera,двайная камера,,Samsung
Dual SIM always on,пастаянны рэжым дзвюх SIM,,Samsung
dual standby mode,рэжым чакання дзвюх SIM-карт,,Samsung
dual view,двайны паказ,,"Google (Viewing mode that allows you to see both Google TV and some other applications on Google TV like Chrome at the same time. You can choose which app you want to set as a dual view and where you want to position the dual view. For example, while searching the Internet with Chrome, you can set TV as a dual view or vice versa.)"
dual-side NFC,двухбаковы NFC,,"Google (Functionality enabling near field communication, such as through Android Beam, to work from either side of the device.)"
Dubai,Дубай,,Samsung
due,"на сёння (due today); ! тэрмін, выканаць (зрабіць) да",,"MS, Anki"
due date,тэрмін выканання,,Google (A delivery date for a task in Classroom.)
due date,тэрмін выканання,,"Samsung, Google"
due date,тэрмін выканання,,Samsung
dumbbell,гантэль,,Samsung
dummy,пустышка,,Google
dummy,пустышка,,
Duo-Tone,Дуплекс,Duo-Tone,Google (Photo effect where your photo is converted into two colors. http://en.wikipedia.org/wiki/Duotone)
duplicate,"дублікат; дубляваць, ! падвоіць",,"Telegram, Project Zomboid — дубляваць;
MS — дублікат; дубляваць, дубліраваць

У слоўніках няма «дубляваць», але тут нібы можна спакойна выкінуць -ір-, не баючыся аманіміі"
duration,працягласць,,Samsung
dust,пыл,,Samsung
Dutch,нідэрландская,,CLDR
Dutch treat,Кожны плаціць за сябе,,Samsung
DVB-H,DVB-H,,Samsung
DVR,DVR,,Samsung
dynamic,дынамічны,,Samsung
dynamic brightness,дынамічная яркасць,,"Google (A unique term in Nik Software that refers to a control that enables the user to adjust brightness in a way different from a normal brightness slider. The term ""dynamic"" is only used as a differentiator from brightness.)"
Dynamic canvas,Дынамічнае палатно,,Samsung
Dynamic Content Delivery,Дынамічная дастаўка кантэнту,,Samsung
Dynamic effect,Дынамічны эфект,,Samsung
Dynamic Security Provider,Служба дынамічнай бяспекі,Дынамічная служба бяспекі,"Google (A new model of security updates for Android, this tool allows developers to pick up a security provider that will ensure its apps are up to date. The security provider is also capable of spotting and fixing vulnerabilities without requiring extra patchwork work from developers.)"
E-Letter,E-Letter,,Samsung
e-mail,гл. email,,
e-mail address,гл. email address,,
e-Meeting,e-Meeting,,Samsung
e-reader,электронны чытальнік,,"Samsung, MS, Moon Reader"
each,кожны,,Samsung
EAP,EAP,,Samsung
ear,вуха,,Samsung
early access,ранні доступ,,"MS, Project Zomboid"
earned actions,заробленыя дзеянні,,"Google (A metric that includes view rate, playlist additions, likes and shares. This was previously called “follow-on” in YouTube Video Targeting Tool (advertising).)"
earphone,навушнікі,,Samsung
earpiece,дынамік,,"Google (A speaker on a mobile device that is held next to the ear during a phone call, while listening to voicemail, and so on.)"
easy,просты; проста,,Samsung
Easy Chart,Простая дыяграма,,Samsung
easy clip,простая абрэзка,,Samsung
Easy connect,Простае злучэнне,,Samsung
Easy connection,Простае злучэнне,,Samsung
Easy mode,Просты рэжым,,Samsung
easy settings,простыя налады,,Samsung
Easy setup,Простае наладжванне,,Samsung
Easy Share,Easy Share,,Samsung
ebook,электронная кніга,,"Moon Reader, Samsung"
eBook,гл. ebook,,
Eclair,Eclair,,Google (Code name for a version of the Android operating system. Not to be translated.)
eco,экалагічны,,Samsung
Eco walk,Шпацыр,,Samsung
Ecuador,Эквадор,,CLDR
EDGE,EDGE,,"Google (Acronym for ""Enhanced Data rates for GSM Evolution."" A technology used by some mobile devices to transmit packets of information.)"
edge,край,,Samsung
edge of the screen,край экрана,,Samsung
edit,"рэдагаваць; ! праўка, рэдакцыя",,"Google — змяніць, рэдагаваць (To make a change to an existing file or document.)
Samsung — рэдагаваць

Wikipedia — правіць, праўка"
Edit mode,Рэжым рэдагавання,,Samsung
edit room,экран рэдагавання,рэжым рэдагавання,Google (NOUN: Same as Edit View.)
edit set,рэдагаваць набор,,"Google (To change an existing backup set, i.e. collection of photographs.)"
edit view,рэжым рэдагавання,,Google (NOUN: A view that enables users to modify and fix their photos. A single photo is shown in this view.)
editor,рэдактар,,"Samsung, MS"
Editors' Choice,Выбар рэдакцыі,,"Google (Label of the collection of best apps on Google Play, chosen editorially.)"
Editors' Choice games,Гульні: выбар рэдакцыі,,Google
education,адукацыя,,Samsung
effect,эфект,,Samsung
Effective Date,дата ўступлення ў сілу,,Samsung
effects,эфекты,,Google (Visual effects applied to photos)
efficiency,эфектыўнасць,,Samsung
eg.,напр.,,"Anki, MS"
Egypt,Егіпет,,CLDR
eject,выняць,,"Telegram, Project Zomboid, ТСБМ

MS — вынуць (sic!)"
El Paso,Эль-Паса,,Samsung
El Salvador,Сальвадор,,CLDR
electronics,электроніка,,MS
email,электронная пошта; электронны ліст; электронны адрас,,"Samsung, MS"
email address,адрас электроннай пошты,,"MS, Telegram"
Email and other accounts,Электронная пошта і іншыя ўліковыя запісы,,Samsung
Email inbox,Уваходныя,,Samsung
embedded,убудаваны,,Google
embedded asset,убудаваны аб'ект уласнасці,,"Google (An asset contained within another asset, such as a composition that is used in a sound recording. An asset can contain zero or more embedded assets, while embedded assets can also contain embedded assets. For example, a movie can contain a sound recording which in turn contains a composition.)"
emergency,экстранны,,Samsung
emergency call,экстранны выклік,,Google (A call to an emergency service (such as the police or fire department) that is permitted even when the phone is locked.)
emergency callback mode,рэжым экстраннага зваротнага выкліку,,Samsung
Emergency Location Service,Сэрвіс экстраннага вызначэння месцазнаходжання,,Google (Feature name. The feature enables more accurate location data for emergency services when an emergency call is placed. This helps emergency services get to a user more quickly.)
Emergency mode,Экстранны рэжым,,Samsung
emit,! выдаваць,,
emoji,эмодзі,,Telegram
emoticon,эматыкон,,Samsung
emotion,эмоцыя,,Samsung
empty,пусты,,Samsung
enable,уключыць,,"Google (To activate or turn on.), Samsung"
Enable script view,Уключыць прагляд сцэнарыяў,,Samsung
enabled,уключана; уключаны,,Samsung
encode,! кадзіраваць; закадзіраваць,кадаваць,"Кадаваць — няма ў слоніках. Калі прымаем кадованне, тады давайце выдумаем кадоўку.
Але самс і гугл ва ўсю выкарыстоўваюць словы, вытворныя ад кадаваць"
encoder,"! кадавальнік, кадзіравальнік",,"Google (Software program used to capture, compress and convert audio/video.) — кадавальнік"
encoding,кадзіроўка (аб'ект); кадзіраванне (працэс); ! кадаванне,,"Samsung — кадаванне;
Telegram — кадаванне (аб’ект);
MS — кадаванне (працэс, The process of turning data into a stream of bits. Encoding is part of the serialization process that converts data into a stream of ones and zeros.), кадзіроўка (аб’ект)"
encrypt,шыфраваць; зашыфраваць,,"Samsung, MS"
encrypted,зашыфраваны,,
encryption,шыфраванне,,"Samsung, MS"
end call,завяршыць,,
end card,канцавая картка,,"Google (A clickable graphic that can be integrated into the end of a video to encourage certain user actions, such as subscribing, commenting or sharing.)"
End course,Скончыць курс,,Samsung
end date,дата заканчэння,,Samsung
End key,Клавіша завяршэння,,Samsung
End presentation,Скончыць прэзентацыю,,Samsung
end screen,канцавы экран,,"Google (A final screen at the end of a video, where YouTube Creators can place interface elements to suggest different actions to the viewer; this includes displaying the channel's branding, suggested videos and a clear call to action to subscribe to the channel.)"
End User Licence Agreement,Ліцэнзійнае пагадненне з канцавым карыстальнікам,Ліцэнзійнае пагадненне канцавога карыстальніка,Samsung
End User Licence Agreement for Software,Ліцэнзійнае пагадненне з канцавым карыстальнікам для Праграмы,Ліцэнзійнае пагадненне з канчатковым карыстальнікам для Праграмы,Samsung
End User License Agreement,Ліцэнзійнае пагадненне з канцавым карыстальнікам,Ліцэнзійнае пагадненне канцавога карыстальніка,Samsung
End User License Agreement for Software,Ліцэнзійнае пагадненне з канцавым карыстальнікам для Праграмы,Ліцэнзійнае пагадненне з канчатковым карыстальнікам для Праграмы,Samsung
endpoint,! канцывы пункт,,"MS — канцавая кропка, канцавы пункт

Як па-мне, тэрмін няўдалы. А як перакладаць starting and ending endpoints?
Можа «гранічны пункт»?"
endurance,"вынослівасць, трываласць",,"Samsung – вынослівасць;
Project Zomboid — трываласць"
Energy balance,Баланс энергіі,,Samsung
engagement,залучанасць,,Google (The degree of interaction with a website or service.)
engine,сістэма; рухавік,,"MS – сістэма, рухавік, апрацоўшчык, матор, машына, модуль

Рухавічок — непатрэбная беларускай калька з рускай мовы. Слова ўжо так ці інакш увайшло ў моўную практыку, але пакуль рэкамендуецца ужываць толькі словы «рухавік», «сістэма» і іншыя, у залежнасці ад кантэксту"
England,Англія,,CLDR
english,англійская,,CLDR
English,англійская; па-англійску,,Samsung
english (US),англійская (ЗША),,CLDR
enhance,палепшыць,,"Google (Instant improvements to help the people and places in your photos look their best, effortlessly. If you don’t like the changes, it’s easy to undo them.)"
enhanced,павышаны,,Samsung
Enhanced 4G LTE Mode,Пашыраны рэжым 4G LTE,,"Google (LTE is an abbreviation for “Long-Term Evolution”, commonly marketed as 4G LTE and is a standard for wireless communication of high-speed data for mobile phones and data terminals. Enhanced 4G LTE Mode uses LTE services to improve voice and other communications.)"
Enhanced CPV,Палепшаны кошт за прагляд,,Google (Enhanced CPV (cost-per-view). Some advertisers use video ads to drive install. Enhanced CPV optimizes for this goal and delivers more app installs per dollar. eCPV for app installs adjusts the bid of the advertiser in each auction based on the likelihood a specific ad view would result in an app install.)
Enhanced features,Палепшаныя функцыі,,Samsung (Menu name. Please use this term as is.)
Enhancements,Паляпшэнні,,"Google (A tab within Video Manager that allows users to add effects to their video, such as stabilization, slow motion, and color filters.)"
enlarge,павялічыць,,Samsung
enough,дастаткова,,Samsung
enter,enter (клавіша); увесці; увод; увядзіце,,Samsung — увесці; увод
Entertainment,Забавы,,Samsung
environment,асяроддзе,,
episode,серыя,,"Google, Samsung"
Equaliser,эквалайзер,,Samsung
equation,ураўненне; формула,,MS
Equatorial Guinea,Экватарыяльная Гвінея,,CLDR
equivalent,эквівалент,,Samsung
erase,сцерці; сціраць; сцерці даныя,,"Google (To perform a factory reset and permanently delete all of the data on a device. Example: to erase a lost device.) — сцерці даныя;
Samsung — сціраць"
Erase Device,Сцерці даныя прылады,,"Google (This is the name of a button available at www.android.com/devicemanager. By clicking the button, the user will perform a factory reset, which permanently deletes all of the user's data.)"
eraser,сцірка,,Samsung
eraser tool,сцірка,,Samsung
ERI,індыкатар роўмінгу (ERI),ERI,"Google (Abbreviation for ""Enhanced Roaming Indicator."" A feature to indicate whether a mobile phone is on its home system, a partner network, or a roaming network.)"
Eritrea,Эрытрэя,,CLDR
error,памылка,,Samsung
Esperanto,эсперанта,,CLDR
essential application,асноўная праграма,,Samsung
estimated,прыблізны,,
estimating,ацэньванне,,
Estonia,Эстонія,,CLDR
Eswatini,Эсватыні,,CLDR
Ethernet,Ethernet,,Samsung
Ethiopia,Эфіопія,,CLDR
EU,"ЕС, Еўрапейскі Саюз (калі ёсць месца)",,
Europe,Еўропа,,CLDR
EV,EV,,Google (Abbreviation for Exposure Value. Sometimes written as E.V.)
EvDo,EvDo,,"Google (Short for Evolution-Data Optimized or Evolution-Data Only. A telecommunications standard for the wireless transmission of data through radio signals, typically for broadband Internet access.)"
event,падзея,,"Google (An occurrence, activity or happening of significance that occurs.), Samsung"
Events,Падзеі,,"Google (A Google Play Store category: concert tickets, sporting event tickets, ticket resales, movie tickets...)"
Events viewer,Прагляд падзей,,"Google (Chart that shows the number of times an event, like reaching a level or performing an in-game action, was triggered by game players over time. See: https://developers.google.com/games/services/common/concepts/quests)"
Evernote,Evernote,,Samsung
Everyone,Для ўсіх,,"Google (A principle governing content labeling or filtering. The three primary rules are (1) No age numbers, (2) No phrases associated with kids or children under 13, (3) No age-based labels and phrases in general.)"
everywhere,усюды,,"Google — убудаваны аб'ект уласнасці; усюды (In relation to content syndication, this refers to all the places that a YouTube video can play. This includes all monetized platforms as well as other platforms that we currently cannot monetize due to technical constraints (for example, iOS) and platforms that do not meet all the criteria for monetization (for example due to geo-restrictions).)"
example,прыклад,,Samsung
exceed,перавышаць,,Samsung
exception,выключэнне; выключная сітуацыя,,Samsung — выключная сітуацыя
excerpt,урывак,,Google (A portion of a larger piece of work.)
excessive,празмерны,,Samsung
Exchange,Exchange,,Samsung
execution,выкананне,,
exercise,практыкаванне,,Samsung
exercise mate,памочнік па практыкаваннях,,Samsung
exhaust,выхлапны,,Samsung
exhaust gas,выхлапны газ,,Samsung
exhibition,дэманстрацыя,,Google (A video playback that lasts at least 30 seconds.)
EXIF,стандарт EXIF,,"Google (Camera data that is stored in a picture's original file - such as camera model, date the photo was taken, even if a flash was used.)"
existing,"існы, ! існуючы",,Samsung
exists,існуе,,Samsung
exit,выхад; выходзіць,,
expand,разгарнуць; разгортванне,,"Samsung, MS"
expandable,разгортвальны,,Google
expandable autoplay,разгортвальнае аўтапрайграванне,,"Google (A type of video ad format. A 300x360 YouTube vdeo ad that runs in the top-right corner of the homepage with expansion features. Once clicked, the unit expands to 950x500 and plays automatically. ""Watch in Widescreen"" text is displayed under Play button.)"
expandable masthead,разгортвальная шапка,,"Google (A 970x250 pixel in-page unit running the full width of the YouTube homepage below the navigation bar. When clicked, it expands to 970x500 pixels.)"
expected,"чакалася, меркавалася",,Anki
Expeditions,Экспедыцыі,,"Google (Expeditions is a product for teachers who want to more effectively engage their students. It uses VR-hardware and/or VR-content to solidify and support teaching by making lessons and presentations more engaging. NOTES: Aim is to keep product name in English as much as possible. Basic guidance here is we want the connotation of any translation to be a trip or adventure with a purpose; Expeditions aren't about tours like a tourist might take, its about going somewhere with specific purpose, to learn a specific thing)"
experience point,ачко вопыту,,"Google (A numeric reward given to a player through interacting with Play Games Services (for example, by unlocking achievements). As players earn experience points, they increase their Play Games level.)"
expert,эксперт,,Samsung
expert mode,экспертны рэжым,,Samsung
expire,пратэрмінавацца,,Samsung
expired,тэрмін дзеяння скончыўся; самазнішчылася (фота); знішчаны (файл),,
Expiry Date,Тэрмін дзеяння,,
explicit,нецэнзурны,,Google (Describes music with graphic lyrics which may not be suitable for all audiences.)
explore,азнаёміцца,,Google (To examine or investigate; to browse some host of items.)
Explore by Touch,усюды; Азнаямленне дотыкам,,Google
Explore by Touch,Азнаямленне дотыкам,,Google (Android accessibility feature that speaks the name of an item when the user moves a finger over it on the screen. This feature is available when TalkBack is turned on. See http://support.google.com/android/bin/answer.py?hl=en&answer=2492750 for more information.)
Explore by Touch,Адкрыцці на кончыках пальцаў,,Samsung
export,экспарт,,Samsung
exposure,экспазіцыя,,Samsung
exposure compensation,кампенсацыя вытрымкі,,Google (Exposure compensation or exposure bias is a technique for adjusting the exposure by a photographic exposure meter in order to achieve a particular effect or improve difficult lighting conditions.)
express,яўны,,Samsung
extension,пашырэнне,,Google
external,вонкавы; ! знешні,,Samsung — вонкавы
external storage,вонкавае сховішча,,
extra,дадатковы,,"Anki, Telegram"
extra volume,дадатковая гучнасць,,Samsung
extract,выняць; ! вынуць,,Samsung — выняць
extracting,выманне,,Anki
extractor hood,выцяжка,,Project Zomboid
Extras,Дадатковае,,"Google (Name of a folder in Android. Contains auto installed apps including: Translate, Shopping Express and Wikipedia (web link))"
Eyes-Free Shell,Безвізуальны інтэрфейс,Безвізуальная абалонка,"Google (An Android app that provides an alternative Home screen for blind and low-vision users. It allows users to launch various types of shortcuts (such as speaking the current location, wireless signal status, or current time) and perform some basic actions (for example, search for and launch apps) using simple touch gestures and spoken feedback.)"
F.A.Q.,Частыя пытанні,,Telegram
fabric,тканіна,,Samsung
face,твар,,Samsung
face finder,пошук твараў,,Samsung
face grouping,групаванне твараў,,"Google (Google Photos feature for grouping similar faces together in users' photos, and attributing labels to these groups. See: https://support.google.com/photos/answer/6128838?hl=en)"
Face Movie,Face Movie,Праграма Face Movie,"Google (Feature to create create a slideshow featuring portraits (faces) together with transitions, music and captions.)"
face recognition,распазнаванне твару,,Samsung
Face tagging,Ідэнтыфікацыя твараў,,Samsung
Face Unlock,Распазнаванне твару,Разблакіроўка з дапамогай твару,Google (A feature that uses a forward-facing camera and face-recognition technology to secure devices. The device unlocks when it detects the face of the authorized user.)
face value,намінальная вартасць,,Samsung
Facebook,Facebook,,Samsung
factory,заводскі,,Samsung
factory data reset,скід да заводскіх налад,,"Google (An action that deletes all data, including downloaded apps, and resets the phone to the default version of the most recently downloaded system software.)"
factory data reset,скід да заводскіх даных,,Samsung
Factory reset,Аднаўленне заводскіх налад,,Samsung
fade in,з’яўляцца; з’яўленне,,MS
fade out,затухаць; затуханне,,"MS – знікаць, затуханне, глушыцца
Moon Reader — затуханне"
failed,не ўдалося; няўдалы,,"Telegram, Anki"
failure,збой; няўдача (вашага дзяння),,"Samsung — збой;
failure to — не ўдалося;
Project Zomboid — няўдача (вашага дзяння)"
fair use,добрасумленнае выкарыстанне,,"Google (Under certain conditions, excerpts from copyrighted works can be used by third parties (e.g. YouTube creators) in the context of their own work, without seeking permission from (or paying royalties to) the copyright holder. This type of usage is called ""fair use"", and is governed by the ""fair use doctrine"".)"
Fake call,Псеўдавыклік,,Samsung
Falkland Islands (Malvinas),Фалклендскія (Мальвінскія) астравы,,CLDR
false,"фальшыва; ! фальш, няпраўда (прагр., мат.); false",,"MS — няпраўда, хлусня, false
Project Zomboid — фальшыва (мат., лепей падыходзіць да «... when false» і самае блізкае значэнне па слоўніках)

гл. ТСБМ. Несапраўдны не падыходзіць як матэматычны антонім ""сапраўдны"""
family,сям'я,,"Google — сям’я (A preset subgroup of a user's contacts within the YouTube address book. This group has special permissions to see the user's private videos.); Сям’я (Family is the ultra short form of Google Play for Families. Play for Families is a new Play Store feature that will help parents find safe content for children. The feature will be integrated into the existing Store tabs as a new tile with the label ""Family"" at the top of the store page for each content type (Apps, Games, Books, Music, Movies, etc).)"
Family Library,Сямейная медыятэка,,Google
family manager,кіраўнік сям'і,,Google (a user assigned to be the master user in a family profile (family account))
Family Square,Family Square,,Samsung
Family Square Service,Family Square Service,,Samsung
Family Story,Family Story,,Samsung
fan,вентылятар,,Samsung
Fan Finder,Пошук фанаў,,"Google (A feature for YouTube Creators that lets them select one of their videos to become a ""channel ad,"" which will then automatically get promoted to people who will likely like that channel.)"
Fan Funding,Фінансаванне ад фанаў,,"Google (Feature that allows YouTube creators to accept monetary funds for their videos or channel. When enabled, viewers will be able to show their support for creators they love by giving them money (Previously known as ""community funding"").)"
fan subtitles,субцітры ад фанаў,,"Google (Feature that enables fans to contribute captions and subtitles to videos that they love. It also enables creators to moderate, approve and publish them on their videos.)"
fantasy setting games,гульні з фантастычнымі абставінамі,,Google
FAQ,Частыя пытанні,,Telegram
Faroe Islands,Фарэрскія астравы,,CLDR
fast forward,пераматаць наперад,,Samsung
fast motion,хуткі рух,,Samsung
fat,тлушч,,Samsung
favicon,значок вэб-сайта,,"Google (A favicon is a small graphic that an advertiser can use to brand their website, such as their company logo. Text ads typically include a favicon next to the URL, to help make advertisers more recognizable for users.)"
favorite,абранае; дадаць у абраныя,,"Google — абранае (A preferred item, i.e. a video that a user has marked as a favorite. The user can then easily return to watch the video later.); дадаць у абраныя (To mark a video as a favorite; this action adds the video to the user's Favorites list.)"
favorites,абраныя; упадабаныя,,"Project Zomboid — абраныя;
Samsung — упадабаныя"
favourite,гл. favorite,,
favourites,гл. favorites,,
fax,факс,,Samsung
FDN,фіксаваны нумар,ЗАГ,"Google (Acronym of “fixed dialing number”. Fixed dialing is a feature in which a mobile phone is allowed to dial only certain numbers. Numbers are added to the FDN list, and when activated, FDN restricts outgoing calls to only those numbers listed, or to numbers with certain prefixes. One practical application of FDN is for parents to restrict the phone numbers to which their children can dial.)"
feather,плаўнасць пераходу; Лёгкая старонка,размытасць краёў,"Google — плаўнасць пераходу (Refers to how quickly the transition is made from the area of the photo that is tinted to the area of the photo that is not tinted.); Лёгкая старонка (Feature name. This is an ultra-light version of the YouTube watch page. It's designed to provide a very basic watch experience while keeping the page-weight way down, reducing front-end latency. The operative metaphor is ""lightweight"", so if something else works better in your language, that's fine.)"
feature,функцыя,,"Google (A set of software functionality designed to solve a specific problem or to provide a new functionality to the user.), Samsung"
feature graphic,індывідуальная графіка,асаблівая графіка,Google (An app's feature graphic is a large graphic displayed at the top of an app's page on Google Play.)
featured,вартае ўвагі,,"Google (Homepage section title, below Trends. A selection of videos chosen algorithmically from a large pool of content partner videos. Varies by country and region, may also be weighted by additional signals such as watch history and performance. Translation must be different than the translation for Spotlight. See also “Spotlight”.), Samsung — Вартае ўвагі
MS — Вартае ўвагі; папулярнае"
